ID_MD,FORM,FORM_VERS,CAPITOL,CAPITOL_VERS,RIND,RIND_VERS,DENUMIRE,DECIMAL_POS,COL_ACTIV,ORDINE,DATA_REG,STATUT,DINAMIC
17046,14,2000,340,"2,004",44,"2,004",-,0000000000000000,1111111111111111,48,02/23/2016 09:54:33,1,
17045,14,2000,340,"2,004",45,"2,004",-,0000000000000000,1111111111111111,49,02/23/2016 09:54:33,1,
17069,14,2000,340,"2,004",46,"2,004",-,0000000000000000,1111111111111111,50,02/23/2016 09:54:33,1,
17025,14,2000,340,"2,004",47,"2,004",-,0000000000000000,1111111111111111,51,02/23/2016 09:54:33,1,
17006,14,2000,340,"2,004",48,"2,004",-,0000000000000000,1111111111111111,52,02/23/2016 09:54:33,1,
17060,14,2000,340,"2,004",49,"2,004",-,0000000000000000,1111111111111111,53,02/23/2016 09:54:33,1,
17005,14,2000,340,"2,004",50,"2,004",-,0000000000000000,1111111111111111,54,02/23/2016 09:54:33,1,
17078,14,2000,340,"2,004",51,"2,004",-,0000000000000000,1111111111111111,55,02/23/2016 09:54:33,1,1
17044,14,2000,340,"2,004",52,"2,004",-,0000000000000000,1111111111111111,56,02/23/2016 09:54:33,1,1
17043,14,2000,340,"2,004",53,"2,004",-,0000000000000000,1111111111111111,57,02/23/2016 09:54:33,1,1
17042,14,2000,340,"2,004",54,"2,004",-,0000000000000000,1111111111111111,58,02/23/2016 09:54:33,1,1
17041,14,2000,340,"2,004",55,"2,004",-,0000000000000000,1111111111111111,59,02/23/2016 09:54:33,1,1
17040,14,2000,340,"2,004",56,"2,004",-,0000000000000000,1111111111111111,60,02/23/2016 09:54:33,1,1
17017,14,2000,340,"2,004",57,"2,004",-,0000000000000000,1111111111111111,61,02/23/2016 09:54:33,1,1
17039,14,2000,340,"2,004",58,"2,004",-,0000000000000000,1111111111111111,62,02/23/2016 09:54:33,1,1
17004,14,2000,340,"2,004",59,"2,004",-,0000000000000000,1111111111111111,63,02/23/2016 09:54:33,1,1
17038,14,2000,340,"2,004",60,"2,004",-,0000000000000000,1111111111111111,64,02/23/2016 09:54:33,1,1
17037,14,2000,340,"2,004",61,"2,004",-,0000000000000000,1111111111111111,65,02/23/2016 09:54:33,1,1
17003,14,2000,340,"2,004",62,"2,004",-,0000000000000000,1111111111111111,66,02/23/2016 09:54:33,1,1
17036,14,2000,340,"2,004",63,"2,004",-,0000000000000000,1111111111111111,67,02/23/2016 09:54:33,1,1
16988,14,2000,340,"2,004",64,"2,004",-,0000000000000000,1111111111111111,68,02/23/2016 09:54:33,1,1
16987,14,2000,340,"2,004",65,"2,004",-,0000000000000000,1111111111111111,69,02/23/2016 09:54:33,1,1
17024,14,2000,340,"2,004",66,"2,004",-,0000000000000000,1111111111111111,70,02/23/2016 09:54:33,1,1
17023,14,2000,340,"2,004",67,"2,004",-,0000000000000000,1111111111111111,71,02/23/2016 09:54:33,1,1
17077,14,2000,340,"2,004",68,"2,004",-,0000000000000000,1111111111111111,72,02/23/2016 09:54:33,1,1
16986,14,2000,340,"2,004",69,"2,004",-,0000000000000000,1111111111111111,73,02/23/2016 09:54:33,1,1
16985,14,2000,340,"2,004",70,"2,004",-,0000000000000000,1111111111111111,74,02/23/2016 09:54:33,1,1
17076,14,2000,340,"2,004",71,"2,004",-,0000000000000000,1111111111111111,75,02/23/2016 09:54:33,1,1
16984,14,2000,340,"2,004",72,"2,004",-,0000000000000000,1111111111111111,76,02/23/2016 09:54:33,1,1
17016,14,2000,340,"2,004",73,"2,004",-,0000000000000000,1111111111111111,77,02/23/2016 09:54:33,1,1
17002,14,2000,340,"2,004",74,"2,004",-,0000000000000000,1111111111111111,78,02/23/2016 09:54:33,1,1
17075,14,2000,340,"2,004",75,"2,004",-,0000000000000000,1111111111111111,79,02/23/2016 09:54:33,1,1
17001,14,2000,340,"2,004",76,"2,004",-,0000000000000000,1111111111111111,80,02/23/2016 09:54:33,1,1
17074,14,2000,340,"2,004",77,"2,004",-,0000000000000000,1111111111111111,81,02/23/2016 09:54:33,1,1
17035,14,2000,340,"2,004",78,"2,004",-,0000000000000000,1111111111111111,82,02/23/2016 09:54:33,1,1
17034,14,2000,340,"2,004",79,"2,004",-,0000000000000000,1111111111111111,83,02/23/2016 09:54:33,1,1
17059,14,2000,340,"2,004",80,"2,004",-,0000000000000000,1111111111111111,84,02/23/2016 09:54:33,1,1
17068,14,2000,340,"2,004",81,"2,004",-,0000000000000000,1111111111111111,85,02/23/2016 09:54:33,1,1
17058,14,2000,340,"2,004",82,"2,004",-,0000000000000000,1111111111111111,86,02/23/2016 09:54:33,1,1
17033,14,2000,340,"2,004",83,"2,004",-,0000000000000000,1111111111111111,87,02/23/2016 09:54:33,1,1
17073,14,2000,340,"2,004",84,"2,004",-,0000000000000000,1111111111111111,88,02/23/2016 09:54:33,1,1
17032,14,2000,340,"2,004",85,"2,004",-,0000000000000000,1111111111111111,89,02/23/2016 09:54:33,1,1
17000,14,2000,340,"2,004",86,"2,004",-,0000000000000000,1111111111111111,90,02/23/2016 09:54:33,1,1
17015,14,2000,340,"2,004",87,"2,004",-,0000000000000000,1111111111111111,91,02/23/2016 09:54:33,1,1
17014,14,2000,340,"2,004",88,"2,004",-,0000000000000000,1111111111111111,92,02/23/2016 09:54:33,1,1
17067,14,2000,340,"2,004",89,"2,004",-,0000000000000000,1111111111111111,93,02/23/2016 09:54:33,1,1
17013,14,2000,340,"2,004",90,"2,004",-,0000000000000000,1111111111111111,94,02/23/2016 09:54:33,1,1
17057,14,2000,340,"2,004",91,"2,004",-,0000000000000000,1111111111111111,95,02/23/2016 09:54:33,1,1
17066,14,2000,340,"2,004",92,"2,004",-,0000000000000000,1111111111111111,96,02/23/2016 09:54:33,1,1
17031,14,2000,340,"2,004",93,"2,004",-,0000000000000000,1111111111111111,97,02/23/2016 09:54:33,1,1
16983,14,2000,340,"2,004",94,"2,004",-,0000000000000000,1111111111111111,98,02/23/2016 09:54:33,1,1
16999,14,2000,340,"2,004",95,"2,004",-,0000000000000000,1111111111111111,99,02/23/2016 09:54:33,1,1
17022,14,2000,340,"2,004",96,"2,004",-,0000000000000000,1111111111111111,100,02/23/2016 09:54:33,1,1
17012,14,2000,340,"2,004",97,"2,004",-,0000000000000000,1111111111111111,101,02/23/2016 09:54:33,1,1
16982,14,2000,340,"2,004",98,"2,004",-,0000000000000000,1111111111111111,102,02/23/2016 09:54:33,1,1
17072,14,2000,340,"2,004",99,"2,004",-,0000000000000000,1111111111111111,103,02/23/2016 09:54:33,1,1
